ioc_value,ioc_type,ti_score,ti_reputation,in_blocklist,nb_sources_flagging,ti_confidence,ti_first_seen_days_ago,ti_last_seen_days_ago,ti_trend,threat_categories,geo_country,actor_type,nb_campaigns
55845,sha256,48,suspicious,1,34,0.62,253,15,increasing,Ransomware,,cybercrime,0
56680,sha256,42,suspicious,1,30,0.53,167,30,increasing,Dropper,,APT,0
57156,sha256,40,clean,1,28,0.62,51,352,decreasing,Ransomware,,cybercrime,0
59137,sha256,37,clean,1,26,0.52,147,142,increasing,Ransomware,,cybercrime,0
59893,sha256,62,suspicious,1,44,0.55,36,38,stable,Ransomware,,cybercrime,3
64074,sha256,46,suspicious,1,33,0.59,33,21,decreasing,Trojan,,APT,0
72969,sha256,52,suspicious,1,37,0.84,334,53,increasing,Backdoor,,cybercrime,0
78449,sha256,61,suspicious,1,43,0.57,206,87,stable,Ransomware,,cybercrime,2
80357,sha256,49,suspicious,1,35,0.81,16,45,increasing,Backdoor,,cybercrime,0
89150,sha256,51,suspicious,1,36,0.53,37,35,decreasing,Ransomware,,cybercrime,0
90317,sha256,48,suspicious,1,34,0.79,128,38,stable,Backdoor,,unknown,0
92978,sha256,51,suspicious,1,36,0.57,70,78,stable,Dropper,,cybercrime,0
95438,sha256,44,suspicious,1,31,0.92,46,82,stable,Ransomware,,cybercrime,0
98614,sha256,48,suspicious,1,34,0.91,349,37,stable,Ransomware,,hacktivist,0
112919,sha256,58,suspicious,1,41,0.59,206,65,decreasing,Ransomware,,cybercrime,0
114025,sha256,31,clean,1,22,0.6,110,292,stable,Trojan,,cybercrime,0
121088,sha256,40,clean,1,28,0.79,270,141,stable,Backdoor,,cybercrime,0
284,sha256,75,malicious,1,54,0.78,314,25,increasing,Dropper,,unknown,0
415,sha256,68,suspicious,1,48,0.77,26,55,stable,Backdoor,,unknown,0
714,sha256,69,suspicious,1,49,0.98,122,52,increasing,Ransomware,,unknown,0
2155,sha256,71,malicious,1,51,0.62,355,31,stable,Backdoor,,unknown,0
5744,sha256,70,suspicious,1,50,0.94,13,36,stable,Ransomware,,cybercrime,2
17594,sha256,70,suspicious,1,50,0.52,31,31,increasing,Trojan,,unknown,0
24235,sha256,66,suspicious,1,47,0.71,53,30,stable,Ransomware,,unknown,0
35108,sha256,61,suspicious,1,43,0.67,271,25,stable,Dropper,,unknown,0
46600,sha256,65,suspicious,1,46,0.63,319,30,increasing,Backdoor,,unknown,0
52541,sha256,77,malicious,1,55,0.53,317,62,stable,Backdoor,,unknown,0
57214,sha256,73,malicious,1,52,0.94,151,67,stable,Backdoor,,unknown,0
78332,sha256,67,suspicious,1,48,0.79,237,29,stable,Ransomware,,unknown,0
136188,sha256,64,suspicious,1,46,0.54,309,12,decreasing,Ransomware,,unknown,0
35,sha256,38,clean,1,27,0.88,322,44,stable,Dropper,,unknown,0
121,sha256,33,clean,1,23,0.51,215,230,stable,Backdoor,,unknown,0
934,sha256,31,clean,1,22,0.6,248,226,increasing,Dropper,,unknown,0
2330,sha256,21,clean,0,15,0.59,99,109,stable,,,unknown,0
3733,sha256,36,clean,1,25,0.72,105,341,stable,Ransomware,,unknown,0
21598,sha256,19,clean,0,13,0.71,141,236,stable,,,unknown,0
13422,sha256,78,malicious,1,56,0.52,150,46,increasing,Backdoor,,unknown,0
14209,sha256,70,suspicious,1,50,0.77,143,65,stable,Trojan,,unknown,0
15018,sha256,62,suspicious,1,44,0.63,59,9,stable,Dropper,,unknown,0
15500,sha256,63,suspicious,1,45,0.72,121,2,decreasing,Ransomware,,unknown,0
16170,sha256,85,malicious,1,61,0.73,53,68,increasing,Dropper,,unknown,0
16720,sha256,74,malicious,1,53,0.96,108,73,decreasing,Trojan,,unknown,0
40926,sha256,82,malicious,1,59,0.82,219,28,stable,Ransomware,,unknown,0
70927,sha256,75,malicious,1,54,0.6,16,84,increasing,Trojan,,unknown,0
87469,sha256,78,malicious,1,56,0.85,47,25,increasing,Dropper,,unknown,0
108048,sha256,75,malicious,1,54,0.76,242,40,increasing,Trojan,,unknown,0
110461,sha256,85,malicious,1,61,0.95,209,55,increasing,Backdoor,,unknown,0
123288,sha256,73,malicious,1,52,0.53,233,61,increasing,Trojan,,unknown,0
140,sha256,39,clean,1,28,0.89,38,78,increasing,Dropper,,unknown,0
13528,sha256,32,clean,1,23,0.8,235,51,decreasing,Dropper,,unknown,0
21959,sha256,36,clean,1,25,0.6,75,62,stable,Ransomware,,unknown,0
31811,sha256,25,clean,1,18,0.67,340,152,decreasing,Ransomware,,APT,0
33840,sha256,30,clean,1,21,0.7,333,240,stable,Backdoor,,unknown,0
